soil	dirt	territory	1	Freed soil must be dispersed and protected against flocculation .
illusion	fantasy	trick	13	That a writer who is gay cannot be serious is a common professional illusion , sedulously fostered by all too many academics who mistakenly believe that their frivolous efforts should be taken seriously because they are expressed with that dreary solemnity which is the only mode of expression their authors are capable of .
country	nation	area	14	Each failed catastrophically in an invasion of Russia and each brought ruin on the country that worshipped him .
idea	thought	theme	14	It would be a mistake to sell those thousands of beginning campers on the idea they 're buying the comforts of home .
comforts	conveniences	consolation	19	It would be a mistake to sell those thousands of beginning campers on the idea they 're buying the comforts of home .
way	direction	manner	10	I was stumbling in my undershirt trying to find my way around her damn kitchenette when I smelt that sickish sweet hairtonic smell .
smell	odor	flavor	22	I was stumbling in my undershirt trying to find my way around her damn kitchenette when I smelt that sickish sweet hairtonic smell .
confidence	assurance	trust	5	But for all his erudite confidence , Sergeant Early was right out of the Garryowen mold .
telephone	phone	telephony	2	Between the telephone and the wall plug there was sixty feet of cord , and when the conversation came to an end , Eugene carried the instrument with him the whole length of the apartment , to his bathroom , where it rang three more times while he was shaving and in the tub .
end	ending	goal	21	Between the telephone and the wall plug there was sixty feet of cord , and when the conversation came to an end , Eugene carried the instrument with him the whole length of the apartment , to his bathroom , where it rang three more times while he was shaving and in the tub .
picnic	breeze	outing	8	Marketing in the new decade will be no picnic - for the sixties will present possibly the most intense competitive activity that you have experienced in the last 20 - 25 yr. .
view	opinion	sight	1	His view is that every religion pertains to a community , and , conversely , every community is in one aspect a religious unit .
industry	manufacture	diligence	1	Many industry trade associations are developing campaigns to protect or enhance the share of the consumer 's dollar being spent on their particular products .
share	portion	contribution	12	Many industry trade associations are developing campaigns to protect or enhance the share of the consumer 's dollar being spent on their particular products .
development	evolution	exploitation	7	Let us survey for a moment the development of modern thought - turning our attention from the Reformation toward the revolutionary and romantic movements that follow and dwelling finally on more recent decades .
grip	hold	handle	22	I would have stood there and died there if left to myself , but Cousin Simmons grabbed my arm in his viselike grip and fairly plucked me out of there ; and then I came to some sanity and plunged away with such extraordinary speed that I outdistanced Cousin Simmons by far .
picnic	outing	breeze	15	One day he followed the Irish Jasper Greens , the town band , to a picnic and spent the entire day listening , while his family spent the day looking .
shot	shooter	injection	9	Willings was , presumably , a better than average shot .
stage	phase	degree	2	The second stage is to retain the nominal classification of `` neutralist '' , while in fact turning the country into an active advocate and adherent of Soviet policy .
access	admission	approach	11	All-weather roads must be provided next to the feeding floor so access will be possible all year .
price	cost	damage	10	We assume further that the union recognizes the possibility that price level increases may offset wage rate increases , and it does not entirely disregard the effect of price increases arising from its own wage increases upon the `` real '' wage rate .
level	degree	floor	11	We assume further that the union recognizes the possibility that price level increases may offset wage rate increases , and it does not entirely disregard the effect of price increases arising from its own wage increases upon the `` real '' wage rate .
effect	result	impression	26	We assume further that the union recognizes the possibility that price level increases may offset wage rate increases , and it does not entirely disregard the effect of price increases arising from its own wage increases upon the `` real '' wage rate .
job	task	problem	3	That finished the job that Captain Chandler and Lieutenant Carroll had begun .
