1	soil	Freed [soil] must be dispersed and protected against flocculation.
1	dirt	Freed [dirt] must be dispersed and protected against flocculation.
1	territory	Freed [territory] must be dispersed and protected against flocculation.
2	illusion	That a writer who is gay cannot be serious is a common professional [illusion], sedulously fostered by all too many academics who mistakenly believe that their frivolous efforts should be taken seriously because they are expressed with that dreary solemnity which is the only mode of expression their authors are capable of.
2	fantasy	That a writer who is gay cannot be serious is a common professional [fantasy], sedulously fostered by all too many academics who mistakenly believe that their frivolous efforts should be taken seriously because they are expressed with that dreary solemnity which is the only mode of expression their authors are capable of.
2	trick	That a writer who is gay cannot be serious is a common professional [trick], sedulously fostered by all too many academics who mistakenly believe that their frivolous efforts should be taken seriously because they are expressed with that dreary solemnity which is the only mode of expression their authors are capable of.
3	country	Each failed catastrophically in an invasion of Russia and each brought ruin on the [country] that worshipped him.
3	area	Each failed catastrophically in an invasion of Russia and each brought ruin on the [area] that worshipped him.
3	nation	Each failed catastrophically in an invasion of Russia and each brought ruin on the [nation] that worshipped him.
4	idea	It would be a mistake to sell those thousands of beginning campers on the [idea] they're buying the comforts of home.
4	thought	It would be a mistake to sell those thousands of beginning campers on the [thought] they're buying the comforts of home.
4	theme	It would be a mistake to sell those thousands of beginning campers on the [theme] they're buying the comforts of home.
5	comforts	It would be a mistake to sell those thousands of beginning campers on the idea they're buying the [comforts] of home.
5	consolation	It would be a mistake to sell those thousands of beginning campers on the idea they're buying the [consolation] of home.
5	conveniences	It would be a mistake to sell those thousands of beginning campers on the idea they're buying the [conveniences] of home.
6	way	I was stumbling in my undershirt trying to find my [way] around her damn kitchenette when I smelt that sickish sweet hairtonic smell.
6	direction	I was stumbling in my undershirt trying to find my [direction] around her damn kitchenette when I smelt that sickish sweet hairtonic smell.
6	manner	I was stumbling in my undershirt trying to find my [manner] around her damn kitchenette when I smelt that sickish sweet hairtonic smell.
7	smell	I was stumbling in my undershirt trying to find my way around her damn kitchenette when I smelt that sickish sweet hairtonic [smell].
7	flavor	I was stumbling in my undershirt trying to find my way around her damn kitchenette when I smelt that sickish sweet hairtonic [flavor].
7	odor	I was stumbling in my undershirt trying to find my way around her damn kitchenette when I smelt that sickish sweet hairtonic [odor].
8	confidence	But for all his erudite [confidence], Sergeant Early was right out of the Garryowen mold.
8	trust	But for all his erudite [trust], Sergeant Early was right out of the Garryowen mold.
8	assurance	But for all his erudite [assurance], Sergeant Early was right out of the Garryowen mold.
9	telephone	Between the [telephone] and the wall plug there was sixty feet of cord, and when the conversation came to an end, Eugene carried the instrument with him the whole length of the apartment, to his bathroom, where it rang three more times while he was shaving and in the tub.
9	phone	Between the [phone] and the wall plug there was sixty feet of cord, and when the conversation came to an end, Eugene carried the instrument with him the whole length of the apartment, to his bathroom, where it rang three more times while he was shaving and in the tub.
9	telephony	Between the [telephony] and the wall plug there was sixty feet of cord, and when the conversation came to an end, Eugene carried the instrument with him the whole length of the apartment, to his bathroom, where it rang three more times while he was shaving and in the tub.
10	end	Between the telephone and the wall plug there was sixty feet of cord, and when the conversation came to an [end], Eugene carried the instrument with him the whole length of the apartment, to his bathroom, where it rang three more times while he was shaving and in the tub.
10	goal	Between the telephone and the wall plug there was sixty feet of cord, and when the conversation came to a [goal], Eugene carried the instrument with him the whole length of the apartment, to his bathroom, where it rang three more times while he was shaving and in the tub.
10	ending	Between the telephone and the wall plug there was sixty feet of cord, and when the conversation came to an [ending], Eugene carried the instrument with him the whole length of the apartment, to his bathroom, where it rang three more times while he was shaving and in the tub.
11	picnic	Marketing in the new decade will be no [picnic] - for the sixties will present possibly the most intense competitive activity that you have experienced in the last 20 - 25 yr..
11	breeze	Marketing in the new decade will be no [breeze] - for the sixties will present possibly the most intense competitive activity that you have experienced in the last 20 - 25 yr..
11	outing	Marketing in the new decade will be no [outing] - for the sixties will present possibly the most intense competitive activity that you have experienced in the last 20 - 25 yr..
12	view	His [view] is that every religion pertains to a community, and, conversely, every community is in one aspect a religious unit.
12	opinion	His [opinion] is that every religion pertains to a community, and, conversely, every community is in one aspect a religious unit.
12	sight	His [sight] is that every religion pertains to a community, and, conversely, every community is in one aspect a religious unit.
13	industry	Many [industry] trade associations are developing campaigns to protect or enhance the share of the consumer's dollar being spent on their particular products.
13	diligence	Many [diligence] trade associations are developing campaigns to protect or enhance the share of the consumer's dollar being spent on their particular products.
13	manufacture	Many [manufacture] trade associations are developing campaigns to protect or enhance the share of the consumer's dollar being spent on their particular products.
14	share	Many industry trade associations are developing campaigns to protect or enhance the [share] of the consumer's dollar being spent on their particular products.
14	portion	Many industry trade associations are developing campaigns to protect or enhance the [portion] of the consumer's dollar being spent on their particular products.
14	contribution	Many industry trade associations are developing campaigns to protect or enhance the [contribution] of the consumer's dollar being spent on their particular products.
15	development	Let us survey for a moment the [development] of modern thought - turning our attention from the Reformation toward the revolutionary and romantic movements that follow and dwelling finally on more recent decades.
15	exploitation	Let us survey for a moment the [exploitation] of modern thought - turning our attention from the Reformation toward the revolutionary and romantic movements that follow and dwelling finally on more recent decades.
15	evolution	Let us survey for a moment the [evolution] of modern thought - turning our attention from the Reformation toward the revolutionary and romantic movements that follow and dwelling finally on more recent decades.
16	grip	I would have stood there and died there if left to myself, but Cousin Simmons grabbed my arm in his viselike [grip] and fairly plucked me out of there; and then I came to some sanity and plunged away with such extraordinary speed that I outdistanced Cousin Simmons by far.
16	handle	I would have stood there and died there if left to myself, but Cousin Simmons grabbed my arm in his viselike [handle] and fairly plucked me out of there; and then I came to some sanity and plunged away with such extraordinary speed that I outdistanced Cousin Simmons by far.
16	hold	I would have stood there and died there if left to myself, but Cousin Simmons grabbed my arm in his viselike [hold] and fairly plucked me out of there; and then I came to some sanity and plunged away with such extraordinary speed that I outdistanced Cousin Simmons by far.
17	picnic	One day he followed the Irish Jasper Greens, the town band, to a [picnic] and spent the entire day listening, while his family spent the day looking.
17	outing	One day he followed the Irish Jasper Greens, the town band, to an [outing] and spent the entire day listening, while his family spent the day looking.
17	breeze	One day he followed the Irish Jasper Greens, the town band, to a [breeze] and spent the entire day listening, while his family spent the day looking.
18	shot	Willings was, presumably, a better than average [shot].
18	shooter	Willings was, presumably, a better than average [shooter].
18	injection	Willings was, presumably, a better than average [injection].
19	stage	The second [stage] is to retain the nominal classification of "neutralist", while in fact turning the country into an active advocate and adherent of Soviet policy.
19	phase	The second [phase] is to retain the nominal classification of "neutralist", while in fact turning the country into an active advocate and adherent of Soviet policy.
19	degree	The second [degree] is to retain the nominal classification of "neutralist", while in fact turning the country into an active advocate and adherent of Soviet policy.
20	access	All-weather roads must be provided next to the feeding floor so [access] will be possible all year.
20	admission	All-weather roads must be provided next to the feeding floor so [admission] will be possible all year.
20	approach	All-weather roads must be provided next to the feeding floor so [approach] will be possible all year.
21	price	We assume further that the union recognizes the possibility that [price] level increases may offset wage rate increases, and it does not entirely disregard the effect of price increases arising from its own wage increases upon the "real" wage rate.
21	damage	We assume further that the union recognizes the possibility that [damage] level increases may offset wage rate increases, and it does not entirely disregard the effect of price increases arising from its own wage increases upon the "real" wage rate.
21	cost	We assume further that the union recognizes the possibility that [cost] level increases may offset wage rate increases, and it does not entirely disregard the effect of price increases arising from its own wage increases upon the "real" wage rate.
22	level	We assume further that the union recognizes the possibility that price [level] increases may offset wage rate increases, and it does not entirely disregard the effect of price increases arising from its own wage increases upon the "real" wage rate.
22	floor	We assume further that the union recognizes the possibility that price [floor] increases may offset wage rate increases, and it does not entirely disregard the effect of price increases arising from its own wage increases upon the "real" wage rate.
22	degree	We assume further that the union recognizes the possibility that price [degree] increases may offset wage rate increases, and it does not entirely disregard the effect of price increases arising from its own wage increases upon the "real" wage rate.
23	effect	We assume further that the union recognizes the possibility that price level increases may offset wage rate increases, and it does not entirely disregard the [effect] of price increases arising from its own wage increases upon the "real" wage rate.
23	impression	We assume further that the union recognizes the possibility that price level increases may offset wage rate increases, and it does not entirely disregard the [impression] of price increases arising from its own wage increases upon the "real" wage rate.
23	result	We assume further that the union recognizes the possibility that price level increases may offset wage rate increases, and it does not entirely disregard the [result] of price increases arising from its own wage increases upon the "real" wage rate.
24	job	That finished the [job] that Captain Chandler and Lieutenant Carroll had begun.
24	problem	That finished the [problem] that Captain Chandler and Lieutenant Carroll had begun.
24	task	That finished the [task] that Captain Chandler and Lieutenant Carroll had begun.
25	duty	In June 1845, the Governor and Council of Assiniboia imposed a 20 per cent [duty] on imports via Hudson's Bay which were viewed as aimed at the "very vitals of the Company's trade and power".
25	tariff	In June 1845, the Governor and Council of Assiniboia imposed a 20 per cent [tariff] on imports via Hudson's Bay which were viewed as aimed at the "very vitals of the Company's trade and power".
25	responsibility	In June 1845, the Governor and Council of Assiniboia imposed a 20 per cent [responsibility] on imports via Hudson's Bay which were viewed as aimed at the "very vitals of the Company's trade and power".
26	region	We assume that average total unit cost in the relevant [region] of operation is constant with respect to quantity produced (the average cost curve is horizontal, and therefore is identical with the marginal cost curve), and is the same for every firm (and therefore for the industry).
26	area	We assume that average total unit cost in the relevant [area] of operation is constant with respect to quantity produced (the average cost curve is horizontal, and therefore is identical with the marginal cost curve), and is the same for every firm (and therefore for the industry).
